T/K,P/MPa,H2(g),C(g),N(g),CH4(g),H2O(g),CO(g),O2(g),H2S(g),NaOH(g),KH(g),CO2(g),N2(g),Fe(g),H(g),SO2(g),Ni(g),SiO(g),Na(g),OH(g),O(g),SO(g),S2(g),KCl(g),HF(g),NaCl(g),Co(g),K(g),CrO2(g),FeO(g),Mg(g),Mn(g),PO2(g),PO(g),Ar(g),Zn(g),ZnS(g),ZnOH(g),ZnO(g)
2000,1.00E-01,1.32E-04,6.47E-22,7.47E-10,1.61E-22,1.42E-01,1.93E-04,9.46E-02,4.78E-11,1.02E-03,5.26E-10,4.51E-02,6.85E-01,9.03E-08,1.87E-05,2.39E-02,1.76E-05,1.82E-08,4.22E-04,1.99E-03,2.06E-04,1.19E-05,3.56E-13,1.15E-05,4.66E-05,1.13E-04,2.14E-06,1.24E-05,2.97E-05,1.00E-06,5.04E-09,2.97E-07,1.98E-06,1.12E-08,0.00E+00,6.65E-05,4.65E-13,1.24E-07,1.13E-06
1950,1.00E-01,8.98E-05,1.16E-22,3.57E-10,4.62E-23,1.42E-01,1.26E-04,9.50E-02,2.13E-11,5.81E-04,2.99E-10,4.52E-02,6.86E-01,3.06E-08,1.09E-05,2.40E-02,7.69E-06,6.87E-09,1.86E-04,1.55E-03,1.39E-04,7.46E-06,1.16E-13,1.82E-05,5.22E-05,1.05E-04,8.95E-07,9.10E-06,1.39E-05,4.32E-07,1.40E-09,9.37E-08,8.87E-07,3.37E-09,0.00E+00,6.65E-05,2.56E-13,1.31E-07,1.13E-06
1900,1.00E-01,5.98E-05,1.90E-23,1.64E-10,1.24E-23,1.43E-01,8.02E-05,9.54E-02,9.13E-12,3.07E-04,1.61E-10,4.53E-02,6.87E-01,9.77E-09,6.14E-06,2.40E-02,2.72E-06,2.45E-09,7.47E-05,1.20E-03,9.21E-05,4.56E-06,3.57E-14,2.86E-05,5.71E-05,9.31E-05,3.26E-07,6.39E-06,6.82E-06,1.78E-07,3.61E-10,2.78E-08,3.82E-07,9.58E-10,0.00E+00,6.65E-05,1.37E-13,1.40E-07,1.12E-06
1850,1.00E-01,3.90E-05,2.82E-24,7.21E-11,3.10E-24,1.43E-01,4.97E-05,9.57E-02,3.73E-12,1.60E-04,8.22E-11,4.53E-02,6.87E-01,2.84E-09,3.36E-06,2.40E-02,9.10E-07,8.26E-10,2.93E-05,9.07E-04,5.96E-05,2.72E-06,1.03E-14,4.21E-05,6.05E-05,7.78E-05,1.06E-07,4.30E-06,3.20E-06,6.79E-08,8.69E-11,7.62E-09,1.59E-07,2.57E-10,0.00E+00,6.64E-05,7.06E-14,1.49E-07,1.11E-06
1800,1.00E-01,2.48E-05,3.76E-25,3.03E-11,7.17E-25,1.43E-01,3.00E-05,9.60E-02,1.45E-12,1.06E-04,4.10E-11,4.54E-02,6.87E-01,7.31E-10,1.78E-06,2.40E-02,2.86E-07,1.98E-10,1.44E-05,6.77E-04,3.77E-05,1.57E-06,2.77E-15,5.18E-05,6.16E-05,6.83E-05,3.28E-08,2.88E-06,1.44E-06,2.32E-08,2.21E-11,2.27E-09,3.41E-08,3.49E-11,0.00E+00,6.63E-05,3.52E-14,1.59E-07,1.10E-06
1750,1.00E-01,1.53E-05,4.48E-26,1.22E-11,1.53E-25,1.43E-01,1.76E-05,9.63E-02,5.33E-13,7.19E-05,1.94E-11,4.54E-02,6.88E-01,1.74E-10,9.11E-07,2.39E-02,8.39E-08,4.40E-11,7.08E-06,4.97E-04,2.32E-05,8.84E-07,6.92E-16,6.10E-05,6.23E-05,5.96E-05,9.49E-09,1.87E-06,6.18E-07,7.46E-09,5.19E-12,6.31E-10,6.83E-09,4.28E-12,0.00E+00,6.61E-05,1.68E-14,1.71E-07,1.08E-06
1700,1.00E-01,9.24E-06,4.70E-27,4.61E-12,2.97E-26,1.44E-01,1.00E-05,9.65E-02,1.85E-13,4.74E-05,8.57E-12,4.54E-02,6.88E-01,3.79E-11,4.48E-07,2.39E-02,2.29E-08,8.90E-12,3.34E-06,3.58E-04,1.39E-05,4.79E-07,1.60E-16,7.00E-05,6.29E-05,5.12E-05,2.54E-09,1.14E-06,2.52E-07,2.24E-09,1.12E-12,1.62E-10,1.26E-09,4.72E-13,0.00E+00,6.57E-05,7.67E-15,1.83E-07,1.06E-06
1650,1.00E-01,5.40E-06,4.31E-28,1.65E-12,5.25E-27,1.44E-01,5.49E-06,9.67E-02,6.03E-14,2.88E-05,2.50E-12,4.54E-02,6.88E-01,7.53E-12,2.11E-07,2.39E-02,5.75E-09,1.64E-12,1.42E-06,2.53E-04,8.04E-06,2.51E-07,3.37E-17,6.93E-05,6.49E-05,5.05E-05,6.24E-10,4.73E-07,9.69E-08,6.23E-10,2.18E-13,3.82E-11,2.50E-10,5.43E-14,0.00E+00,3.50E-05,1.79E-15,1.06E-07,5.59E-07
1600,1.00E-01,3.21E-06,3.73E-29,5.57E-13,1.01E-27,1.45E-01,3.05E-06,8.91E-02,2.11E-14,1.54E-05,5.85E-13,4.58E-02,6.94E-01,1.40E-12,9.74E-08,2.41E-02,1.38E-09,2.81E-13,5.27E-07,1.72E-04,4.33E-06,1.32E-07,7.75E-18,6.53E-05,6.77E-05,5.18E-05,1.46E-10,1.56E-07,3.44E-08,1.58E-10,4.01E-14,8.53E-12,6.20E-11,7.85E-15,0.00E+00,1.13E-05,2.65E-16,3.68E-08,1.72E-07
1550,1.00E-01,1.75E-06,2.50E-30,1.75E-13,1.43E-28,1.45E-01,1.55E-06,8.92E-02,5.95E-15,7.85E-06,1.18E-13,4.58E-02,6.94E-01,2.02E-13,4.16E-08,2.40E-02,2.89E-10,4.13E-14,1.79E-07,1.16E-04,2.34E-06,6.34E-08,1.33E-18,6.00E-05,6.92E-05,5.22E-05,2.97E-11,4.68E-08,1.16E-08,3.35E-11,6.30E-15,1.65E-12,1.38E-11,9.38E-16,0.00E+00,3.26E-06,3.01E-17,1.16E-08,4.87E-08
