Data from, Murch-100airZn.,xt,,,,,,,
Moles of ,solid,,,,,,,,
T/K      ,     P/MPa      ,  260)ZnCr2O4   ,199)NaMg3AlSi3O12H2 ,146)MgSO4     ,106)K2Mg(SO4)3 ,41)CaSO4     ,182)Na2SO4    ,192)NaAlSi3O8 ,193)NaAlSiO4
2000.00,1E-01,0E+00,0E+00,0E+00,0E+00,0E+00,0E+00,0E+00,7.7525E-03
1950.00,1E-01,0E+00,0E+00,0E+00,0E+00,0E+00,0E+00,0E+00,2.1457E-02
1900.00,1E-01,0E+00,0E+00,0E+00,0E+00,0E+00,0E+00,0E+00,2.9456E-02
1850.00,1E-01,0E+00,0E+00,0E+00,0E+00,0E+00,0E+00,0E+00,3.3654E-02
1800.00,1E-01,0E+00,0E+00,0E+00,0E+00,0E+00,0E+00,0E+00,3.5212E-02
1750.00,1E-01,0E+00,0E+00,0E+00,0E+00,0E+00,0E+00,0E+00,3.6184E-02
1700.00,1E-01,0E+00,0E+00,0E+00,0E+00,0E+00,0E+00,0E+00,3.6869E-02
1650.00,1E-01,6.1833E-04,0E+00,0E+00,0E+00,0E+00,0E+00,0E+00,3.7246E-02
1600.00,1E-01,1.1021E-03,0E+00,0E+00,0E+00,0E+00,0E+00,0E+00,3.7513E-02
1550.00,1E-01,1.2669E-03,0E+00,0E+00,0E+00,0E+00,0E+00,0E+00,3.7639E-02
1500.00,1E-01,1.3169E-03,0E+00,0E+00,0E+00,0E+00,0E+00,3.7733E-02,0E+00
1450.00,1E-01,1.331E-03,0E+00,0E+00,0E+00,0E+00,0E+00,3.7879E-02,0E+00
1400.00,1E-01,1.3348E-03,0E+00,0E+00,0E+00,0E+00,0E+00,3.8032E-02,0E+00
1350.00,1E-01,1.3355E-03,0E+00,0E+00,0E+00,0E+00,1.9237E-02,0E+00,0E+00
1300.00,1E-01,1.3355E-03,0E+00,0E+00,0E+00,1.4086E-02,1.9406E-02,0E+00,0E+00
1250.00,1E-01,1.3358E-03,0E+00,0E+00,0E+00,1.421E-01,1.9486E-02,0E+00,0E+00
1200.00,1E-01,1.3361E-03,0E+00,0E+00,2.1334E-03,1.4569E-01,1.9534E-02,0E+00,0E+00
1150.00,1E-01,1.3362E-03,0E+00,0E+00,2.1444E-03,1.4569E-01,1.9552E-02,0E+00,0E+00
1100.00,1E-01,1.3364E-03,0E+00,5.0845E-02,2.145E-03,1.4569E-01,1.9558E-02,0E+00,0E+00
1050.00,1E-01,1.3365E-03,0E+00,2.5218E-01,2.145E-03,1.4543E-01,1.9559E-02,0E+00,0E+00
1000.00,1E-01,1.3365E-03,0E+00,2.9374E-01,2.145E-03,1.4516E-01,1.956E-02,0E+00,0E+00
950.00,1E-01,1.3366E-03,0E+00,3.0626E-01,2.145E-03,1.4505E-01,1.3942E-02,1.1236E-02,0E+00
900.00,1E-01,1.3366E-03,0E+00,3.0728E-01,2.145E-03,1.4501E-01,1.3942E-02,1.1236E-02,0E+00
850.00,1E-01,1.3366E-03,0E+00,3.0743E-01,2.145E-03,1.45E-01,1.3942E-02,1.1236E-02,0E+00
800.00,1E-01,1.3366E-03,0E+00,3.2139E-01,2.145E-03,1.4499E-01,0E+00,3.9121E-02,0E+00
750.00,1E-01,1.3366E-03,0E+00,3.2139E-01,2.145E-03,1.4499E-01,0E+00,3.9121E-02,0E+00
700.00,1E-01,1.3366E-03,0E+00,3.2139E-01,2.145E-03,1.4499E-01,0E+00,3.9121E-02,0E+00
650.00,1E-01,1.3366E-03,0E+00,3.2139E-01,2.145E-03,1.4499E-01,0E+00,3.9121E-02,0E+00
600.00,1E-01,1.3366E-03,0E+00,3.2139E-01,2.145E-03,1.4499E-01,0E+00,3.9121E-02,0E+00
550.00,1E-01,1.3366E-03,2.2022E-02,3.1375E-01,2.145E-03,1.4499E-01,7.6398E-03,0E+00,0E+00
500.00,1E-01,1.3366E-03,3.9121E-02,3.2258E-01,2.145E-03,1.438E-01,0E+00,0E+00,0E+00
450.00,1E-01,1.3366E-03,3.9121E-02,3.2266E-01,2.145E-03,1.4372E-01,0E+00,0E+00,0E+00
