Data from, Murch-50airZn.txt,,,,,,,,,,,
Moles of ,solid,,,,,,,,,,,
T/K      ,     P/MPa         ,260)ZnCr2O4   ,216)NiS2      ,214)NiS       ,199)NaMg3AlSi3O12H2  ,146)MgSO4     ,106)K2Mg2(SO4)3 ,57)CoS2       ,41)CaSO4     ,170)MnSO4    ,192)NaAlSi3O8  ,193)NaAlSiO4
2000.00,1E-01,0E+00,0E+00,0E+00,0E+00,0E+00,0E+00,0E+00,0E+00,0E+00,0E+00,1.5963E-02
1950.00,1E-01,0E+00,0E+00,0E+00,0E+00,0E+00,0E+00,0E+00,0E+00,0E+00,0E+00,3.2619E-02
1900.00,1E-01,0E+00,0E+00,0E+00,0E+00,0E+00,0E+00,0E+00,0E+00,0E+00,0E+00,4.1454E-02
1850.00,1E-01,0E+00,0E+00,0E+00,0E+00,0E+00,0E+00,0E+00,0E+00,0E+00,0E+00,4.607E-02
1800.00,1E-01,0E+00,0E+00,0E+00,0E+00,0E+00,0E+00,0E+00,0E+00,0E+00,0E+00,4.7805E-02
1750.00,1E-01,0E+00,0E+00,0E+00,0E+00,0E+00,0E+00,0E+00,0E+00,0E+00,0E+00,4.8904E-02
1700.00,1E-01,0E+00,0E+00,0E+00,0E+00,0E+00,0E+00,0E+00,0E+00,0E+00,0E+00,4.9576E-02
1650.00,1E-01,5.4666E-05,0E+00,0E+00,0E+00,0E+00,0E+00,0E+00,0E+00,0E+00,0E+00,4.9952E-02
1600.00,1E-01,1.2351E-03,0E+00,0E+00,0E+00,0E+00,0E+00,0E+00,0E+00,0E+00,0E+00,5.0235E-02
1550.00,1E-01,1.6175E-03,0E+00,0E+00,0E+00,0E+00,0E+00,0E+00,0E+00,0E+00,0E+00,5.0396E-02
1500.00,1E-01,1.7216E-03,0E+00,0E+00,0E+00,0E+00,0E+00,0E+00,0E+00,0E+00,5.0561E-02,0E+00
1450.00,1E-01,1.7497E-03,0E+00,0E+00,0E+00,0E+00,0E+00,0E+00,0E+00,0E+00,5.0799E-02,0E+00
1400.00,1E-01,1.7636E-03,0E+00,0E+00,0E+00,0E+00,0E+00,0E+00,0E+00,0E+00,5.1024E-02,0E+00
1350.00,1E-01,1.7702E-03,0E+00,0E+00,0E+00,0E+00,0E+00,0E+00,0E+00,0E+00,5.1251E-02,0E+00
1300.00,1E-01,1.773E-03,0E+00,0E+00,0E+00,0E+00,0E+00,0E+00,0E+00,0E+00,5.147E-02,0E+00
1250.00,1E-01,1.7742E-03,0E+00,0E+00,0E+00,0E+00,0E+00,0E+00,0E+00,0E+00,5.1656E-02,0E+00
1200.00,1E-01,1.7748E-03,0E+00,0E+00,0E+00,0E+00,0E+00,0E+00,0E+00,0E+00,5.179E-02,0E+00
1150.00,1E-01,1.7752E-03,0E+00,0E+00,0E+00,0E+00,0E+00,0E+00,0E+00,0E+00,5.188E-02,0E+00
1100.00,1E-01,1.7755E-03,0E+00,0E+00,0E+00,0E+00,0E+00,0E+00,0E+00,0E+00,5.1934E-02,0E+00
1050.00,1E-01,1.7758E-03,0E+00,0E+00,0E+00,0E+00,0E+00,0E+00,0E+00,0E+00,5.1964E-02,0E+00
1000.00,1E-01,1.7759E-03,0E+00,0E+00,0E+00,0E+00,0E+00,0E+00,0E+00,0E+00,5.1978E-02,0E+00
950.00,1E-01,1.7761E-03,0E+00,0E+00,0E+00,0E+00,0E+00,0E+00,5.1951E-02,0E+00,5.1985E-02,0E+00
900.00,1E-01,1.7762E-03,0E+00,0E+00,0E+00,0E+00,0E+00,0E+00,1.9268E-01,0E+00,5.1988E-02,0E+00
850.00,1E-01,1.7762E-03,0E+00,0E+00,0E+00,0E+00,0E+00,0E+00,1.9268E-01,0E+00,5.1988E-02,0E+00
800.00,1E-01,1.7763E-03,0E+00,1.8529E-02,0E+00,0E+00,2.8506E-03,0E+00,1.9268E-01,0E+00,5.1989E-02,0E+00
750.00,1E-01,1.7763E-03,0E+00,1.2702E-01,0E+00,0E+00,2.8506E-03,0E+00,1.9268E-01,0E+00,1.3485E-02,0E+00
700.00,1E-01,1.7763E-03,0E+00,1.3874E-01,0E+00,0E+00,2.8506E-03,0E+00,1.9268E-01,1.8926E-02,0E+00,0E+00
650.00,1E-01,1.7763E-03,0E+00,1.5727E-01,0E+00,1.0991E-01,2.8506E-03,7.1669E-03,1.9268E-01,1.8926E-02,1.4114E-02,0E+00
600.00,1E-01,1.7763E-03,3.2898E-02,1.2437E-01,5.1989E-02,1.9374E-01,2.8506E-03,7.1669E-03,1.9268E-01,1.8926E-02,0E+00,0E+00
550.00,1E-01,1.7763E-03,3.6293E-02,1.2097E-01,5.1989E-02,2.008E-01,2.8506E-03,7.1669E-03,1.915E-01,1.8926E-02,0E+00,0E+00
500.00,1E-01,1.7763E-03,3.6621E-02,1.2064E-01,5.1989E-02,2.0144E-01,2.8506E-03,7.1669E-03,1.9106E-01,1.8926E-02,0E+00,0E+00
450.00,1E-01,1.7763E-03,3.9968E-02,1.173E-01,5.1989E-02,2.1718E-01,2.8506E-03,7.1669E-03,1.9099E-01,0E+00,0E+00,0E+00
