T/K,P/MPa,H2(g),C(g),N(g),CH4(g),H2O(g),CO(g),O2(g),H2S(g),NaOH(g),KH(g),CO2(g),N2(g),Fe(g),H(g),SO2(g),Ni(g),SiO(g),Na(g),OH(g),O(g),SO(g),S2(g),KCl(g),HF(g),NaCl(g),Co(g),K(g),CrO2(g),FeO(g),Mg(g),Mn(g),PO2(g),PO(g),Ar(g),Zn(g),ZnS(g),ZnOH(g),ZnO(g)
2000,1.00E-10,2.07E-05,6.42E-14,8.70E-07,3.91E-34,4.26E-08,3.69E-02,3.50E-04,7.63E-14,9.41E-14,9.38E-14,1.65E-05,9.30E-04,8.28E-02,2.34E-01,9.02E-07,4.89E-03,1.01E-01,1.62E-03,4.78E-05,3.95E-01,2.33E-04,3.71E-08,3.53E-11,3.15E-06,9.36E-11,2.23E-04,1.77E-04,5.90E-09,1.76E-06,1.03E-01,5.89E-04,1.60E-07,4.68E-04,0.00E+00,5.53E-05,3.94E-15,2.47E-18,1.81E-12
1950,1.00E-10,4.16E-05,1.20E-14,4.15E-07,1.03E-33,1.87E-07,3.69E-02,7.64E-04,2.44E-13,3.10E-13,1.26E-13,3.76E-05,9.30E-04,8.29E-02,2.34E-01,4.75E-06,4.90E-03,1.01E-01,1.62E-03,9.48E-05,3.94E-01,5.21E-04,7.05E-08,6.89E-11,3.28E-06,1.79E-10,2.23E-04,1.78E-04,2.82E-08,3.32E-06,1.03E-01,5.89E-04,4.30E-07,5.76E-04,0.00E+00,5.53E-05,5.25E-15,6.67E-18,2.66E-12
1900,1.00E-10,8.71E-05,2.05E-15,1.91E-07,2.85E-33,8.85E-07,3.69E-02,1.73E-03,8.13E-13,1.08E-12,1.71E-13,8.89E-05,9.30E-04,8.30E-02,2.34E-01,2.66E-05,4.91E-03,1.01E-01,1.62E-03,1.94E-04,3.92E-01,1.19E-03,1.33E-07,1.39E-10,3.05E-06,3.54E-10,2.24E-04,1.78E-04,1.45E-07,6.46E-06,1.04E-01,5.91E-04,1.08E-06,6.36E-04,0.00E+00,5.54E-05,6.98E-15,1.89E-17,3.97E-12
1850,1.00E-10,1.90E-04,3.23E-16,8.40E-08,8.47E-33,4.53E-06,3.70E-02,4.03E-03,2.76E-12,4.04E-12,2.39E-13,2.19E-04,9.32E-04,8.35E-02,2.35E-01,1.53E-04,4.93E-03,1.02E-01,1.63E-03,4.11E-04,3.87E-01,2.68E-03,2.37E-07,2.95E-10,2.68E-06,7.29E-10,2.25E-04,1.79E-04,8.03E-07,1.30E-05,1.04E-01,5.94E-04,2.66E-06,6.64E-04,0.00E+00,5.57E-05,8.99E-15,5.67E-17,6.03E-12
1800,1.00E-10,4.37E-04,4.68E-17,3.55E-08,2.78E-32,2.51E-05,3.71E-02,9.48E-03,8.94E-12,1.61E-11,3.42E-13,5.57E-04,9.40E-04,8.44E-02,2.37E-01,8.28E-04,4.99E-03,1.03E-01,1.65E-03,8.94E-04,3.74E-01,5.48E-03,3.39E-07,6.55E-10,2.28E-06,1.58E-09,2.28E-04,1.81E-04,4.68E-06,2.67E-05,1.05E-01,6.01E-04,6.60E-06,6.78E-04,0.00E+00,5.64E-05,1.05E-14,1.79E-16,9.26E-12
1750,1.00E-10,1.10E-03,6.43E-18,1.45E-08,1.12E-31,1.53E-04,3.77E-02,2.14E-02,2.53E-11,6.95E-11,5.25E-13,1.45E-03,9.74E-04,8.78E-02,2.44E-01,3.52E-03,5.20E-03,1.07E-01,1.72E-03,1.98E-03,3.46E-01,8.72E-03,3.03E-07,1.62E-09,8.84E-06,3.80E-09,2.37E-04,1.88E-04,2.74E-05,5.62E-05,1.10E-01,6.25E-04,1.66E-05,7.00E-04,0.00E+00,5.87E-05,9.87E-15,6.05E-16,1.43E-11
1700,1.00E-10,2.83E-03,8.18E-19,5.61E-09,4.86E-31,9.46E-04,3.74E-02,4.45E-02,4.87E-11,3.04E-10,8.19E-13,3.64E-03,1.02E-03,9.19E-02,2.48E-01,9.47E-03,5.44E-03,1.12E-01,1.80E-03,4.26E-03,2.98E-01,8.84E-03,1.18E-07,4.21E-09,3.77E-05,9.61E-09,2.48E-04,1.97E-04,1.41E-04,1.17E-04,1.15E-01,6.54E-04,4.07E-05,7.11E-04,0.00E+00,6.14E-05,6.16E-15,2.04E-15,2.14E-11
1650,1.00E-10,7.19E-03,9.72E-20,2.07E-09,2.10E-30,5.47E-03,3.54E-02,7.90E-02,6.68E-11,1.29E-09,1.28E-12,8.36E-03,1.08E-03,9.79E-02,2.44E-01,1.63E-02,5.80E-03,1.19E-01,1.92E-03,8.34E-03,2.30E-01,5.96E-03,2.33E-08,1.18E-08,6.27E-05,2.62E-08,2.64E-04,2.10E-04,5.11E-04,2.32E-04,1.22E-01,6.98E-04,9.34E-05,7.09E-04,0.00E+00,6.55E-05,2.79E-15,6.55E-15,3.00E-11
1600,1.00E-10,1.54E-02,1.08E-20,7.34E-10,6.78E-30,2.50E-02,3.16E-02,1.14E-01,7.29E-11,4.89E-09,1.92E-12,1.70E-02,1.20E-03,1.09E-01,2.14E-01,2.21E-02,6.44E-03,1.28E-01,2.13E-03,1.35E-02,1.55E-01,3.39E-03,3.98E-09,3.71E-08,7.46E-05,7.94E-08,2.93E-04,2.34E-04,1.11E-03,4.41E-04,1.36E-01,7.75E-04,1.97E-04,6.95E-04,0.00E+00,7.28E-05,1.22E-15,1.86E-14,3.95E-11
1550,1.00E-10,2.14E-02,1.03E-21,2.44E-10,8.85E-30,7.01E-02,2.51E-02,1.38E-01,5.28E-11,1.44E-08,2.31E-12,2.93E-02,1.35E-03,1.21E-01,1.46E-01,2.70E-02,7.21E-03,1.41E-01,2.38E-03,1.60E-02,9.20E-02,1.81E-03,6.97E-10,1.22E-07,8.46E-05,2.52E-07,3.28E-04,2.61E-04,1.64E-03,7.93E-04,1.51E-01,8.67E-04,3.65E-04,6.32E-04,0.00E+00,8.15E-05,5.44E-16,4.00E-14,4.80E-11
