Data from, Murchison-vacc-,Zn.txt,,,,,
Moles of ,solid,,,,,,
T/K      ,     P/MPa      ,   260)ZnCr2O4  ,207)Ni3S2     ,192)NaAlSi3O8  ,97)FeS        ,50)Co9S8      ,193)NaAlSiO4
2000.00,1E-10,0E+00,0E+00,0E+00,0E+00,0E+00,0E+00
1950.00,1E-10,0E+00,0E+00,0E+00,0E+00,0E+00,0E+00
1900.00,1E-10,0E+00,0E+00,0E+00,0E+00,0E+00,0E+00
1850.00,1E-10,0E+00,0E+00,0E+00,0E+00,0E+00,0E+00
1800.00,1E-10,0E+00,0E+00,0E+00,0E+00,0E+00,0E+00
1750.00,1E-10,0E+00,0E+00,0E+00,0E+00,0E+00,0E+00
1700.00,1E-10,0E+00,0E+00,0E+00,0E+00,0E+00,0E+00
1650.00,1E-10,0E+00,0E+00,0E+00,0E+00,0E+00,0E+00
1600.00,1E-10,0E+00,0E+00,0E+00,0E+00,0E+00,0E+00
1550.00,1E-10,0E+00,0E+00,0E+00,0E+00,0E+00,0E+00
1500.00,1E-10,0E+00,0E+00,0E+00,0E+00,0E+00,0E+00
1450.00,1E-10,0E+00,0E+00,0E+00,0E+00,0E+00,0E+00
1400.00,1E-10,0E+00,0E+00,0E+00,0E+00,0E+00,0E+00
1350.00,1E-10,0E+00,0E+00,0E+00,0E+00,0E+00,0E+00
1300.00,1E-10,0E+00,0E+00,0E+00,0E+00,0E+00,0E+00
1250.00,1E-10,0E+00,0E+00,0E+00,0E+00,0E+00,0E+00
1200.00,1E-10,0E+00,0E+00,0E+00,0E+00,0E+00,0E+00
1150.00,1E-10,0E+00,0E+00,0E+00,0E+00,0E+00,0E+00
1100.00,1E-10,0E+00,0E+00,0E+00,0E+00,0E+00,0E+00
1050.00,1E-10,0E+00,0E+00,0E+00,0E+00,0E+00,0E+00
1000.00,1E-10,0E+00,0E+00,0E+00,0E+00,0E+00,0E+00
950.00,1E-10,0E+00,0E+00,0E+00,0E+00,0E+00,0E+00
900.00,1E-10,0E+00,7.8117E-02,0E+00,3.5683E-01,0E+00,5.7767E-02
850.00,1E-10,0E+00,7.8117E-02,3.9446E-02,5.9496E-01,1.1866E-03,3.424E-02
800.00,1E-10,0E+00,7.8117E-02,7.4647E-02,7.3722E-01,1.1866E-03,0E+00
750.00,1E-10,0E+00,7.8117E-02,7.6694E-02,7.6052E-01,1.1866E-03,0E+00
700.00,1E-10,0E+00,7.8117E-02,7.7284E-02,7.6622E-01,1.1866E-03,0E+00
650.00,1E-10,2.2987E-03,7.8117E-02,7.7442E-02,7.6791E-01,1.1866E-03,0E+00
600.00,1E-10,2.6423E-03,7.8117E-02,7.7469E-02,7.6899E-01,1.1866E-03,0E+00
550.00,1E-10,2.6469E-03,7.8117E-02,7.7472E-02,7.6973E-01,1.1866E-03,0E+00
500.00,1E-10,2.647E-03,7.8117E-02,7.7472E-02,7.7019E-01,1.1866E-03,0E+00
450.00,1E-10,2.647E-03,7.8117E-02,7.7472E-02,7.7045E-01,1.1866E-03,0E+00
